,Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
13,13,Single,53,1,9254,Daytime,42,110,Portuguese,1,1,4,7,111.8,1,0,0,1,female,1,21,0,0,6,7,6,10.57142857,0,0,6,8,5,11,0,8.9,1.4,3.51,Graduate
14,14,Single,1,1,9085,Daytime,1,149,Portuguese,38,37,5,5,137.1,1,0,0,1,female,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12,0,10.8,1.4,1.74,Graduate
15,15,Single,1,1,9773,Daytime,1,127,Portuguese,19,37,9,3,120.7,1,0,0,1,female,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0,0,15.5,2.8,-4.06,Dropout
16,16,Single,18,1,9238,Daytime,1,137,Portuguese,19,38,5,8,137.4,1,0,0,1,FEMALE,0,18,0,0,6,10,1,12,0,0,6,14,2,11,0,10.8,1.4,1.74,Enrolled
17,17,Single,17,2,9500,Daytime,1,135,Portuguese,19,1,5,4,127.3,1,0,0,1,FEMALE,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
18,18,Single,1,1,9130,Daytime,1,137,Portuguese,3,19,3,5,136.3,1,0,0,1,Female,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
19,19,Single,1,1,9853,Daytime,1,140,Portuguese,19,19,7,7,124.6,1,0,0,1,FEMALE,0,18,0,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
20,20,Single,1,3,171,Daytime,1,122,Portuguese,1,1,9,8,120.3,0,0,0,1,FEMALE,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,Graduate
21,21,Single,18,4,9556,Daytime,1,127,Portuguese,1,38,4,7,121.8,1,0,0,1,Female,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
22,22,Single,1,4,9500,Daytime,1,142,Portuguese,19,19,1,1,125.5,1,0,0,1,Female,0,18,0,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,3.7,-1.7,Graduate
23,23,Single,1,4,9670,Daytime,1,125,Portuguese,1,38,4,7,114.9,1,0,0,1,Female,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,11.1,0.6,2.02,Graduate
24,24,Single,1,1,9500,Daytime,1,126,Portuguese,19,19,3,7,123.9,0,0,0,1,FEMALE,0,19,0,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,2.02,Graduate
25,25,Single,1,1,9238,Daytime,1,151,Portuguese,19,38,9,9,157,1,0,1,1,FEMALE,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11,0,7.6,2.6,0.32,Enrolled
26,26,Single,17,2,9238,Daytime,1,115,Portuguese,19,38,7,8,116.4,1,0,0,1,Female,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92,Graduate
27,27,Single,1,1,9085,Daytime,1,138,Portuguese,19,19,3,3,131,1,0,0,1,Female,0,18,0,0,5,9,5,12.66666667,2,0,5,7,4,13,0,9.4,-0.8,-3.12,Enrolled
28,28,Single,1,1,9147,Daytime,1,135,Portuguese,19,1,9,9,122.1,1,0,0,1,female,0,20,0,0,5,6,5,12,0,0,5,6,5,12.33333333,0,16.2,0.3,-0.92,Graduate
29,29,Single,17,2,9500,Daytime,1,127,Portuguese,3,3,1,10,118.8,1,0,0,1,male,0,19,0,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,16.2,0.3,-0.92,Enrolled
30,30,Single,44,1,9003,Daytime,39,150,Portuguese,4,5,4,2,150,0,0,0,1,male,0,21,0,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,16.2,0.3,-0.92,Enrolled
31,31,Single,51,1,9070,Daytime,1,125,Portuguese,42,3,125,124,130,1,0,0,1,MALE,0,20,0,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
32,32,Single,1,1,9147,Daytime,1,143,Portuguese,1,1,4,6,138.8,0,0,0,0,Male,0,18,0,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
33,33,Single,18,1,8014,Evening,1,138,Portuguese,19,1,9,5,134.5,1,0,0,1,FEMALE,0,19,0,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
34,34,Single,1,1,9991,Evening,1,130,Portuguese,2,37,3,9,131.4,0,0,0,1,Male,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,Graduate
35,35,Single,39,1,33,Daytime,1,130,Portuguese,38,37,9,6,102.5,0,0,1,0,Male,0,37,0,0,7,7,0,0,0,0,7,7,1,10,0,8.9,1.4,3.51,Dropout
36,36,Single,39,1,9119,Daytime,10,133.1,Portuguese,34,37,0,0,128.8,1,0,0,1,MALE,0,43,0,0,5,0,0,0,0,0,5,0,0,0,0,7.6,2.6,0.32,Dropout
37,37,Single,43,1,9147,Daytime,1,140,Portuguese,37,37,6,6,122.9,0,0,0,1,Female,0,55,0,0,5,10,1,10,0,0,5,8,2,12,2,16.2,0.3,-0.92,Dropout
38,38,Divorced,39,1,9991,Evening,1,120,Portuguese,19,19,9,3,113.9,1,0,0,1,FEMALE,0,39,0,0,5,8,5,11,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
39,39,Single,44,1,9130,Daytime,39,120,Spanish,4,4,3,6,120,0,0,1,0,FEMALE,0,20,1,2,6,13,3,11.66666667,0,1,6,11,3,12,0,12.4,0.5,1.79,Dropout
40,40,Single,1,5,9773,Daytime,1,126,Portuguese,3,3,2,2,121.1,0,0,1,1,female,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,3.7,-1.7,Dropout
41,41,Single,1,2,9147,Daytime,1,133,Portuguese,3,19,2,7,120.4,1,0,0,1,Female,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
42,42,Single,1,6,9500,Daytime,1,103,Portuguese,1,3,2,2,100.6,1,1,0,1,Female,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,11.1,0.6,2.02,Graduate
43,43,Single,17,1,9773,Daytime,1,120,Portuguese,1,38,5,5,121.4,0,0,0,0,Female,0,20,0,0,6,7,4,13,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
44,44,Single,39,1,9991,Evening,1,133.1,Portuguese,37,37,9,9,109.7,0,0,0,1,Female,0,29,0,0,5,0,0,0,0,0,5,0,0,0,0,16.2,0.3,-0.92,Dropout
45,45,Single,17,1,9991,Evening,1,154,Portuguese,38,38,4,5,134.1,0,0,0,1,Female,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,7.6,2.6,0.32,Enrolled
46,46,Single,17,2,9238,Daytime,1,130,Portuguese,19,19,9,9,127.6,1,0,0,1,FEMALE,0,18,0,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
47,47,Single,17,6,9500,Daytime,1,132,Portuguese,37,19,7,7,132.4,1,0,0,1,Female,1,22,0,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02,Graduate
48,48,Single,44,1,8014,Evening,39,130,Portuguese,1,19,9,9,133.4,0,0,0,1,Female,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,12.4,0.5,1.79,Graduate
49,49,Single,1,1,9238,Daytime,1,139,Portuguese,37,38,9,9,126.1,0,0,0,1,FEMALE,1,19,0,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,12.7,3.7,-1.7,Graduate
50,50,Single,39,1,9254,Daytime,1,130,Portuguese,19,38,9,7,113.5,0,0,0,1,female,1,24,0,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,12.4,0.5,1.79,Graduate
51,51,Single,1,1,9500,Daytime,1,139,Portuguese,37,38,6,6,121.3,1,0,0,1,female,1,19,0,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,9.4,-0.8,-3.12,Enrolled
52,52,Single,1,1,9773,Daytime,1,127,Portuguese,1,19,7,7,121.8,1,0,0,1,Female,1,20,0,0,6,11,4,14,0,0,6,12,3,11,0,9.4,-0.8,-3.12,Enrolled
53,53,Single,1,3,9130,Daytime,1,167,Portuguese,37,37,90,90,159.3,0,0,0,1,FEMALE,0,19,0,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
54,54,Single,39,1,9991,Evening,1,130,Portuguese,38,38,9,9,120,0,0,0,1,Female,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11,0,9.4,-0.8,-3.12,Dropout
55,55,Single,1,1,9500,Daytime,1,130,Portuguese,1,19,5,5,129.1,1,0,0,1,Female,0,18,0,0,7,9,7,13.04444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
56,56,Married,7,1,9254,Daytime,3,130,Portuguese,1,3,4,3,130,0,0,0,1,Female,0,39,0,0,6,10,0,0,0,0,6,6,0,0,0,12.4,0.5,1.79,Dropout
57,57,Single,39,1,9130,Daytime,40,129,Portuguese,3,3,2,2,155.3,1,0,0,1,female,0,27,0,0,6,9,5,13,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
58,58,Single,17,1,9500,Daytime,1,141,Portuguese,38,38,7,10,139.8,1,0,0,1,FEMALE,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
59,59,Single,1,3,171,Daytime,1,125,Portuguese,38,37,4,9,115.2,1,0,0,1,Female,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Enrolled
60,60,Single,1,2,9500,Daytime,1,125,Portuguese,19,19,9,9,114.9,0,0,0,1,Female,0,18,0,0,7,8,6,13.13333333,0,0,8,12,7,12.22142857,0,16.2,0.3,-0.92,Graduate
61,61,Single,44,1,9238,Daytime,39,130,Portuguese,19,1,9,9,131.9,0,0,0,1,female,1,21,0,3,6,7,6,12,0,2,6,7,6,12,0,13.9,-0.3,0.79,Graduate
62,62,Single,17,3,171,Daytime,1,133,Portuguese,1,37,4,7,126,1,0,0,1,male,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Enrolled
63,63,Single,17,1,9070,Daytime,1,127,Portuguese,1,1,3,4,130.2,1,0,0,1,male,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10,0,10.8,1.4,1.74,Enrolled
64,64,Single,43,1,9070,Daytime,1,116,Portuguese,1,1,3,3,120.9,0,0,0,1,male,0,24,0,0,6,6,0,0,0,0,6,6,0,0,0,12.7,3.7,-1.7,Enrolled
65,65,Divorced,42,1,9500,Daytime,19,133.1,Portuguese,1,1,5,5,126,1,0,0,1,MALE,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11,0,13.9,-0.3,0.79,Dropout
66,66,Single,1,3,171,Daytime,1,139,Portuguese,19,19,5,3,128.2,1,0,0,1,Male,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Graduate
67,67,Single,44,1,9003,Daytime,39,130,Portuguese,19,37,9,9,130,1,0,0,1,Male,0,23,0,0,6,8,6,12.57142857,0,0,6,7,6,12.42857143,0,8.9,1.4,3.51,Graduate
68,68,Single,1,3,9147,Daytime,1,125,Portuguese,1,38,7,7,120.1,0,0,1,1,male,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
69,69,Single,39,1,9254,Daytime,1,160,Portuguese,19,37,7,10,100,0,0,0,1,Male,0,26,0,0,6,7,6,12,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
70,70,Single,17,1,9147,Daytime,1,148,Portuguese,38,37,5,5,134,0,0,0,1,male,0,18,0,0,5,9,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Enrolled
71,71,Single,17,1,9500,Daytime,1,150,Portuguese,37,19,8,4,130.8,0,0,0,1,male,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
72,72,Single,1,1,171,Daytime,1,141,Portuguese,19,19,5,10,135.8,1,0,0,1,Male,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,Dropout
73,73,Single,17,4,9254,Daytime,1,118,Portuguese,38,37,5,7,111.7,1,0,0,1,Male,0,18,0,0,6,12,3,11.66666667,0,0,6,12,1,12,0,12.4,0.5,1.79,Dropout
74,74,Single,1,2,9773,Daytime,1,142,Portuguese,38,38,9,9,132.9,1,0,0,1,male,0,18,0,0,6,8,6,12.33333333,0,0,6,11,3,12.33333333,0,10.8,1.4,1.74,Graduate
75,75,Single,17,3,9147,Daytime,1,120,Portuguese,19,19,4,7,115.5,1,0,1,1,male,0,18,0,0,5,8,3,10.33333333,0,0,5,11,3,10.85714286,0,10.8,1.4,1.74,Dropout
76,76,Single,18,4,9254,Daytime,1,106,Portuguese,19,37,7,7,106,1,0,0,1,Male,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11,0,9.4,,-3.12,Dropout
77,77,Single,17,4,9773,Daytime,1,121,Portuguese,1,19,9,8,120.3,1,0,1,1,male,1,19,0,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,8.9,1.4,3.51,Graduate
78,78,Single,17,4,9500,Daytime,1,150,Portuguese,38,37,9,9,130.8,0,0,0,1,MALE,1,22,0,0,7,7,7,14.84285714,0,0,8,9,8,15.05555556,0,16.2,0.3,-0.92,Graduate
79,79,Married,39,1,8014,Evening,1,120,Portuguese,37,37,9,6,117,0,0,0,1,Male,0,33,0,0,6,8,6,12,0,0,6,6,6,11.66666667,0,10.8,1.4,1.74,Graduate
80,80,Single,1,6,9853,Daytime,1,114,Portuguese,19,19,9,9,110.2,1,0,0,1,MALE,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
81,81,Single,39,1,9991,Evening,2,140,Portuguese,3,3,2,2,155.7,1,0,0,1,MALE,0,35,0,0,1,1,0,0,1,0,5,0,0,0,0,10.8,1.4,1.74,Dropout
82,82,Single,39,1,9003,Daytime,4,160,Portuguese,3,3,4,2,180.4,0,0,1,1,MALE,0,24,0,6,12,17,6,12.16666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
83,83,Single,17,1,9254,Daytime,1,120,Portuguese,19,19,4,4,125.5,0,0,0,1,Male,0,18,0,0,5,6,5,12,0,0,5,8,3,11.33333333,0,12.7,3.7,-1.7,Enrolled
84,84,Married,39,1,8014,Evening,1,130,Portuguese,37,37,9,6,110,1,0,0,1,Female,0,33,0,0,6,7,6,11,0,0,6,11,5,11,0,9.4,-0.8,-3.12,Graduate
85,85,Single,42,1,9500,Daytime,1,160,Portuguese,37,38,9,7,161,1,0,0,1,female,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate
86,86,Single,39,1,9670,Daytime,1,120,Portuguese,1,19,4,5,100,0,0,0,1,female,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
87,87,Single,17,1,9070,Daytime,1,124,Portuguese,19,38,4,0,117.6,1,0,0,1,Male,0,20,0,0,6,9,6,10.66666667,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate
88,88,Single,1,6,9147,Daytime,1,143,Portuguese,38,37,9,9,128.7,1,0,0,1,Male,0,23,0,0,5,6,4,14,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled
89,89,Single,43,2,9119,Daytime,1,115,Portuguese,38,19,9,6,112.2,1,0,1,1,male,0,18,0,0,5,9,2,10,0,0,5,9,0,0,0,15.5,2.8,-4.06,Enrolled
90,90,Single,39,1,9500,Daytime,1,133.1,Portuguese,1,1,4,10,100.8,0,0,0,1,Male,0,24,0,0,7,18,0,0,0,0,7,7,0,0,0,13.9,-0.3,0.79,Dropout
91,91,Single,17,2,9773,Daytime,1,133.1,Brazilian,19,1,9,9,105,1,0,0,0,FEMALE,0,21,1,0,6,6,6,14,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate
92,92,Single,15,1,9130,Daytime,1,133.1,Brazilian,1,1,4,4,100,0,0,0,1,Female,0,26,1,0,6,7,2,12,1,0,6,6,0,0,0,8.9,1.4,3.51,Dropout
93,93,Married,39,1,9853,Daytime,10,133.1,Portuguese,37,34,0,0,115.5,0,0,0,1,Female,0,39,0,0,6,12,3,12.66666667,0,0,6,14,0,0,1,7.6,2.6,0.32,Dropout
94,94,Married,39,1,8014,Evening,1,133.1,Portuguese,37,19,9,9,114,0,0,0,1,FEMALE,0,44,0,2,8,11,8,11.875,0,0,6,7,6,12.33333333,0,12.7,3.7,-1.7,Graduate
95,95,Single,15,1,9119,Daytime,1,130,Santomean,38,3,9,2,137,1,0,0,1,Male,0,19,1,0,5,9,5,14,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled
96,96,Single,1,5,9773,Daytime,1,135,Portuguese,37,1,5,5,124.9,1,0,0,1,Female,0,18,0,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,8.9,1.4,3.51,Graduate
97,97,Single,1,5,9500,Daytime,1,132,Portuguese,37,37,7,7,120.3,1,0,0,1,Female,1,18,0,0,7,7,7,13.75,0,0,8,9,8,14.47777778,0,12.4,0.5,1.79,Graduate
98,98,Single,1,1,9085,Daytime,1,135,Portuguese,1,2,9,1,134.3,1,0,0,1,female,0,19,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Enrolled
99,99,Single,1,4,9500,Daytime,1,115,Portuguese,3,3,2,2,111.5,1,0,1,0,Female,0,19,0,0,7,10,4,11.96,0,0,7,7,0,0,0,13.9,-0.3,0.79,Dropout
100,100,Single,53,1,9085,Daytime,42,130,Portuguese,38,38,9,9,128.8,0,0,0,1,FEMALE,0,21,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Dropout
101,101,Single,1,4,171,Daytime,1,133.1,Portuguese,1,1,9,10,110,1,0,0,1,female,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,0.3,-0.92,Graduate
102,102,Married,39,1,8014,Evening,1,130,Portuguese,37,37,6,5,113.5,1,0,0,1,female,0,36,0,0,6,0,0,0,0,0,6,0,0,0,0,9.4,-0.8,-3.12,Dropout
103,103,Divorced,39,1,9003,Daytime,12,133.1,Portuguese,37,37,9,6,160,0,0,0,1,FEMALE,0,43,0,13,18,19,18,14.63157895,0,10,13,14,13,14.23076923,1,15.5,2.8,-4.06,Graduate
104,104,Single,18,1,9853,Daytime,1,123,Portuguese,19,19,9,7,117.4,1,0,0,1,Female,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,11.1,0.6,2.02,Dropout
105,105,Single,51,1,9070,Daytime,1,130,Portuguese,3,1,2,8,122.2,0,0,1,1,female,0,20,0,4,10,12,10,13,0,5,11,11,11,12.27272727,0,11.1,0.6,2.02,Graduate
106,106,Single,1,2,9238,Daytime,1,122,Portuguese,37,38,4,7,118.2,1,0,0,1,female,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,16.2,0.3,-0.92,Dropout
107,107,Single,1,1,9085,Daytime,1,113,Portuguese,1,1,4,4,106.7,1,0,0,1,female,0,20,0,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,Dropout
108,108,Single,1,5,9500,Daytime,1,111,Portuguese,3,4,4,3,108.2,1,0,0,1,female,0,20,0,2,7,9,6,13.26666667,0,0,7,10,5,12.3,0,12.4,0.5,1.79,Dropout
109,109,Single,17,2,9853,Daytime,1,133.1,Portuguese,19,1,9,3,107,1,0,0,1,female,0,20,0,0,7,12,6,11.66666667,0,0,7,10,3,13,0,16.2,0.3,-0.92,Enrolled
110,110,Single,1,1,9238,Daytime,1,142,Portuguese,37,37,6,7,136.1,1,0,0,1,FEMALE,0,18,0,0,6,8,6,13.85714286,0,0,6,6,6,15,0,13.9,-0.3,0.79,Graduate
111,111,Single,17,2,9147,Daytime,1,123,Portuguese,1,38,4,7,115.3,1,0,0,1,FEMALE,1,18,0,0,5,9,3,13,0,0,5,11,3,11,0,8.9,1.4,3.51,Enrolled
112,112,Single,1,1,9085,Daytime,1,131,Portuguese,19,19,9,9,139.8,1,0,0,1,Female,0,19,0,0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,Graduate
113,113,Single,1,3,9773,Daytime,1,158,Portuguese,1,38,4,7,157,1,0,0,1,Female,0,18,0,0,6,6,6,12.66666667,0,0,6,7,6,12.57142857,0,10.8,1.4,1.74,Graduate
114,114,Single,17,2,9500,Daytime,1,122,Portuguese,37,37,9,9,131,1,0,0,1,FEMALE,0,18,0,0,7,7,6,12.51666667,1,0,7,7,6,12.51666667,1,7.6,2.6,0.32,Dropout
115,115,Single,43,1,9500,Daytime,1,130,Portuguese,38,38,9,5,100,0,0,0,1,FEMALE,0,20,0,0,7,11,6,11.61666667,0,0,7,7,7,13,0,13.9,-0.3,0.79,Enrolled
116,116,Single,17,1,9238,Daytime,1,154,Portuguese,19,37,9,7,140.4,1,0,0,1,Female,1,20,0,0,6,13,2,10,0,0,6,12,4,10.75,0,7.6,2.6,0.32,Enrolled
117,117,Single,17,1,9147,Daytime,1,120,Portuguese,19,19,3,3,113.4,0,0,0,1,female,0,20,0,0,5,11,3,10.33333333,0,0,5,10,3,10.66666667,0,12.4,0.5,1.79,Enrolled
118,118,Single,1,2,9085,Daytime,1,140,Portuguese,37,38,9,7,137,0,0,0,1,FEMALE,0,18,0,0,5,12,5,13.14285714,2,0,5,6,5,11.4,0,9.4,-0.8,-3.12,Graduate
119,119,Single,1,1,9147,Daytime,1,127,Portuguese,2,19,4,5,121.8,0,0,0,1,FEMALE,0,18,0,0,5,5,5,12.6,0,0,5,5,5,14,0,11.1,0.6,2.02,Graduate
120,120,Single,17,1,9254,Daytime,1,133.1,Portuguese,1,1,4,5,131,1,0,0,1,Female,0,21,0,0,6,12,3,11,0,0,6,12,2,11,0,9.4,-0.8,-3.12,Dropout
121,121,Single,1,2,9147,Daytime,1,120,Portuguese,19,19,9,7,118.6,1,0,0,1,female,0,19,0,0,5,8,5,10.8,0,0,5,9,4,11.25,2,16.2,0.3,-0.92,Graduate
122,122,Single,1,1,171,Daytime,1,137,Portuguese,3,19,2,9,122.3,0,0,0,1,female,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
123,123,Single,1,1,9670,Daytime,1,131,Portuguese,38,38,9,9,127.9,0,0,0,1,Female,1,19,0,0,5,5,5,12.8,0,0,5,5,5,14.2,0,9.4,-0.8,-3.12,Graduate
124,124,Single,1,1,9085,Daytime,1,130,Portuguese,19,38,4,7,121.3,1,0,0,1,Female,0,19,0,0,6,15,6,14.16666667,0,0,6,13,6,12.2,0,15.5,2.8,-4.06,Graduate
125,125,Single,17,6,9556,Daytime,1,122,Portuguese,1,1,4,5,117.1,1,0,0,1,Female,0,19,0,0,7,12,5,12.1,0,0,7,0,0,0,0,13.9,-0.3,0.79,Dropout
126,126,Single,44,1,9085,Daytime,39,160,Portuguese,37,37,9,9,160,1,0,0,1,Female,0,20,0,1,6,7,6,14.16666667,0,1,6,17,5,13.77777778,0,12.4,0.5,1.79,Graduate
127,127,Single,1,1,9853,Daytime,1,146,Portuguese,19,38,9,3,145.3,1,0,0,1,FEMALE,1,18,0,0,6,8,5,12.8,0,0,6,7,5,13.4,0,9.4,-0.8,-3.12,Enrolled
