,Unnamed: 0.1,Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade) After Normalization,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade After Normalization,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade) After Normalization,Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade) After Normalization,Curricular units 2nd sem (without evaluations),Unemployment rate After Normalization,Inflation rate After Normalization,GDP After Normalization,Target,Avg Grade After Normalization,Total Pass Rate After Normalization,Total Missed Rate After Normalization,Economic Pressure Index After Normalization,Age x Admission grade After Normalization,Scholarship holder x Pass rate After Normalization,Daytime attendance x Pass rate After Normalization
10,10,10,1,1,1,9670,1,1,0.6328642957489701,1,38,19,5,7,0.4951335563373611,1,0,0,1,0,0,18,0,0,6,6,6,0.6534216333774835,0,0,6,7,5,0.7646153846742012,0,0.3424387658024422,0.049623750712337156,0.44944857049429693,Graduate,0.592551182281672,0.9166666666666666,0.0,0.37452760697921644,0.01884189240850187,0.0,0.9166666666666666
11,11,11,1,1,1,9500,1,1,0.6128497478849576,1,19,38,9,9,0.360964408571796,1,0,0,1,0,1,18,0,0,8,8,7,0.7000946071523179,0,0,8,8,7,0.7115384613624262,0,0.2772123342210246,0.4466137564110344,0.3014345563840636,Graduate,0.5887692891245639,0.875,0.0,0.5884445101534626,0.016851711556358562,0.875,0.875
12,12,12,1,1,2,9853,1,1,0.5930240300769907,1,19,37,4,9,0.4906682406704945,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,0.2772123342210246,0.4466137564110344,0.3014345563840636,Dropout,0.0,0.0,0.0,0.5884445101534626,0.03783069462109184,0.0,0.0
13,13,13,1,53,1,9254,1,42,0.4475757310590674,1,1,1,4,7,0.261533027041871,1,0,0,1,0,1,21,0,0,6,7,6,0.5600756858278145,0,0,6,8,5,0.5923076923532545,0,0.0706619675465357,0.2183445031342835,0.6111345618114996,Graduate,0.4246529428902442,0.9166666666666666,0.0,0.13109097992648266,0.07197544797043937,0.9166666666666666,0.9166666666666666
14,14,14,1,1,1,9085,1,1,0.7009138174381458,1,38,37,5,5,0.5650823078216654,1,0,0,1,0,1,18,0,0,5,7,4,0.7019867549668874,0,0,5,5,5,0.6461538462035503,0,0.1739371508837802,0.2183445031342835,0.5059197806969964,Graduate,0.5469186173988189,0.9,0.0,0.27949835887723573,0.01987946824582204,0.9,0.9
15,15,15,1,1,1,9773,1,1,0.5539488427689498,1,19,37,9,3,0.3785469128232819,1,0,0,1,0,0,20,0,0,6,6,5,0.6993377483443708,0,0,6,7,0,0.0,0,0.4294073412443323,0.3572910051288275,0.1611481815647259,Dropout,0.19616230955922956,0.4166666666666667,0.0,0.7607102960745002,0.05503780214110482,0.0,0.4166666666666667
16,16,16,1,18,1,9238,1,1,0.6195003996999181,1,19,38,5,8,0.5681969196674928,1,0,0,1,0,0,18,0,0,6,10,1,0.6357615894039735,0,0,6,14,2,0.5923076923532545,0,0.1739371508837802,0.2183445031342835,0.5059197806969964,Enrolled,0.4706125978429604,0.25,0.0,0.27949835887723573,0.019925668441326372,0.0,0.25
17,17,17,1,17,2,9500,1,1,0.6062200765100134,1,19,1,5,4,0.4577028532310763,1,0,0,1,0,0,18,0,0,7,8,7,0.7049668874172186,0,0,8,8,8,0.7831923077525533,0,0.4294073412443323,0.3572910051288275,0.1611481815647259,Graduate,0.6409829167942299,1.0,0.0,0.7607102960745002,0.018286668872800838,0.0,1.0
18,18,18,1,1,1,9130,1,1,0.6195003996999181,1,3,19,3,5,0.5567292457332478,1,0,0,1,0,0,20,0,0,5,8,4,0.6622516556291391,1,0,5,8,4,0.6596153846661243,2,0.1739371508837802,0.2183445031342835,0.5059197806969964,Graduate,0.5295520893582456,0.8,0.19999999999999998,0.27949835887723573,0.0579745185758222,0.0,0.8
19,19,19,1,1,1,9853,1,1,0.6395773680065004,1,19,19,7,7,0.4260397766789623,1,0,0,1,0,0,18,0,0,7,7,6,0.6181015454304636,0,0,7,8,6,0.7269230769789942,0,0.46745609300015906,0.10917225156714175,0.34780039212943786,Enrolled,0.5440080632165472,0.8571428571428571,0.0,0.5609466851707618,0.017816998686149,0.0,0.8571428571428571
20,20,20,1,1,3,171,1,1,0.5219853078690102,1,1,1,9,8,0.37355294309186604,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.19024375877913452,0.13894650199454403,0.5225639268620026,Graduate,0.0,0.0,0.0,0.2479567361029612,0.07391401987744323,0.0,0.0
21,21,21,1,18,4,9556,1,1,0.5539488427689498,1,1,38,4,7,0.3921602411258114,1,0,0,1,0,0,20,0,0,7,14,7,0.6059602649006622,0,0,8,9,8,0.6151923077396303,0,0.2772123342210246,0.4466137564110344,0.3014345563840636,Enrolled,0.46610417524105013,1.0,0.0,0.5884445101534626,0.05526217054118321,0.0,1.0
22,22,22,1,1,4,9500,1,1,0.6530653382772872,1,19,19,1,1,0.4367013218396636,1,0,0,1,0,0,18,0,0,8,12,7,0.6811731316556291,0,0,8,12,7,0.692307692514793,0,0.2772123342210246,0.4466137564110344,0.3014345563840636,Graduate,0.563252309656595,0.875,0.0,0.5884445101534626,0.017975145349420407,0.0,0.875
23,23,23,1,1,4,9670,1,1,0.5410972836775345,1,1,38,4,7,0.30374539228278863,1,0,0,1,0,1,19,0,0,6,8,6,0.7086092715231788,0,0,6,7,6,0.6615384618201183,0,0.19024375877913452,0.13894650199454403,0.5225639268620026,Graduate,0.561357480150483,1.0,0.0,0.2479567361029612,0.03490395984147904,1.0,1.0
24,24,24,1,1,1,9500,1,1,0.5475121059982184,1,19,19,3,7,0.41767172486845183,0,0,0,1,0,0,19,0,0,7,8,6,0.7044591613245034,0,0,8,9,7,0.7599999998276924,0,0.19024375877913452,0.13894650199454403,0.5225639268620026,Graduate,0.6246268722517659,0.8666666666666667,0.0,0.2479567361029612,0.03668775547036118,0.0,0.8666666666666667
25,25,25,1,1,1,9238,1,1,0.7147652230092925,1,19,38,9,9,0.7529389979540788,1,0,1,1,0,1,18,0,0,6,8,5,0.614569536423841,0,0,6,12,4,0.5923076923532545,0,0.0,0.3374415048438927,0.42151018228875087,Enrolled,0.4575471526611601,0.75,0.0,0.25604433168610846,0.022666016374620013,0.75,0.75
26,26,26,1,17,2,9238,1,1,0.47817696000564597,1,19,38,7,8,0.3235958371780896,1,0,0,1,0,0,21,0,0,6,9,6,0.6026490066225165,0,0,6,9,6,0.7153846156704142,0,0.46745609300015906,0.10917225156714175,0.34780039212943786,Graduate,0.5264754125991761,1.0,0.0,0.5609466851707618,0.07304948216402057,0.0,1.0
27,27,27,1,1,1,9085,1,1,0.6261719444804298,1,19,19,3,3,0.499579533047509,1,0,0,1,0,0,18,0,0,5,9,5,0.6710816778807946,2,0,5,7,4,0.7000000000538462,0,0.0978396473721263,0.0,0.217024957975818,Enrolled,0.561567885856919,0.9,0.13333333333333333,0.33045021105106365,0.018907841234032663,0.0,0.9
28,28,28,1,1,1,9147,1,1,0.6062200765100134,1,19,1,9,9,0.3958427626408394,1,0,0,1,0,0,20,0,0,5,6,5,0.6357615894039735,0,0,5,6,5,0.6641025639741618,0,0.46745609300015906,0.10917225156714175,0.34780039212943786,Graduate,0.5152579545573902,1.0,0.0,0.5609466851707618,0.05532286410870901,0.0,1.0
29,29,29,1,17,2,9500,1,1,0.5539488427689498,1,3,3,1,10,0.3546139217516462,1,0,0,1,1,0,19,0,0,7,9,6,0.6852097128476821,0,0,7,7,6,0.7385897438260455,0,0.46745609300015906,0.10917225156714175,0.34780039212943786,Enrolled,0.5967746627095752,0.8571428571428571,0.0,0.5609466851707618,0.035700431196738214,0.0,0.8571428571428571
30,30,30,1,44,1,9003,1,39,0.7078296001028215,1,4,5,4,2,0.6909030817419755,0,0,0,1,1,0,21,0,0,6,15,5,0.628192999205298,0,0,6,17,5,0.5692307691976332,0,0.46745609300015906,0.10917225156714175,0.34780039212943786,Enrolled,0.45199436742541677,0.8333333333333334,0.0,0.5609466851707618,0.07940595457230859,0.0,0.8333333333333334
31,31,31,1,51,1,9070,1,1,0.5410972836775345,1,42,3,125,124,0.4884282858118354,1,0,0,1,1,0,20,0,2,6,7,6,0.6799116996026491,0,0,6,9,4,0.7215384615939646,0,0.0706619675465357,0.2183445031342835,0.6111345618114996,Graduate,0.5817480669791718,0.8333333333333334,0.0,0.13109097992648266,0.05684881465090197,0.0,0.8333333333333334
32,32,32,1,1,1,9147,1,1,0.659840070025209,1,1,1,4,6,0.5826053622385423,0,0,0,0,1,0,18,0,0,5,9,3,0.6004415009271523,0,0,5,8,2,0.7269230769789942,0,0.0706619675465357,0.2183445031342835,0.6111345618114996,Enrolled,0.5324303592085626,0.5,0.0,0.13109097992648266,0.020139394226960927,0.0,0.5
33,33,33,1,18,1,8014,0,1,0.6261719444804298,1,19,1,9,5,0.5376782414932002,1,0,0,1,0,0,19,0,0,6,6,6,0.6710816778807946,0,0,6,8,6,0.774038461598003,0,0.2609057263256703,0.1290217518520766,0.5088919496550333,Graduate,0.6110444584536608,1.0,0.0,0.3057830445224644,0.03856675126469733,0.0,0.0
34,34,34,1,1,1,9991,0,1,0.573389560059012,1,2,37,3,9,0.5040063132242629,0,0,0,1,1,0,34,0,0,5,6,5,0.656953642384106,0,0,5,9,5,0.7230769232094675,0,0.3424387658024422,0.049623750712337156,0.44944857049429693,Graduate,0.5673034645795234,1.0,0.0,0.37452760697921644,0.3240299771237728,0.0,0.0
35,35,35,1,39,1,33,1,1,0.573389560059012,1,38,37,9,6,0.12425497157531495,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,0.5384615385029586,0,0.0706619675465357,0.2183445031342835,0.6111345618114996,Dropout,0.12848655544409032,0.07142857142857142,0.0,0.13109097992648266,0.36964913586194104,0.0,0.07142857142857142
36,36,36,1,39,1,9119,1,10,0.5936818197721161,1,34,37,0,0,0.47488524992025916,1,0,0,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,0.0,0.3374415048438927,0.42151018228875087,Dropout,0.0,0.0,0.0,0.25604433168610846,0.4945923295722946,0.0,0.0
37,37,37,1,43,1,9147,1,1,0.6395773680065004,1,37,37,6,6,0.40560044886789726,0,0,0,1,0,0,55,0,0,5,10,1,0.5298013245033113,0,0,5,8,2,0.6461538462035503,2,0.46745609300015906,0.10917225156714175,0.34780039212943786,Dropout,0.43823543170008816,0.3,0.13333333333333333,0.5609466851707618,0.7199564301289675,0.0,0.3
38,38,38,4,39,1,9991,0,1,0.5093554269594185,1,19,19,9,3,0.29030656019323686,1,0,0,1,0,0,39,0,0,5,8,5,0.5827814569536424,0,0,5,5,5,0.624615384663432,0,0.0,0.3374415048438927,0.42151018228875087,Graduate,0.4575471526611601,1.0,0.0,0.25604433168610846,0.412492034139162,0.0,0.0
39,39,39,1,44,1,9130,1,39,0.5093554269594185,6,4,4,3,6,0.36979199730022216,0,0,1,0,0,0,20,1,2,6,13,3,0.6181015454304636,0,1,6,11,3,0.6461538462035503,0,0.2609057263256703,0.1290217518520766,0.5088919496550333,Dropout,0.4927257318754403,0.5,0.0,0.3057830445224644,0.05489350778890256,0.0,0.5
40,40,40,1,1,5,9773,1,1,0.5475121059982184,1,3,3,2,2,0.3835174841828035,0,0,1,1,0,0,18,0,0,6,6,4,0.6754966887417219,0,0,5,5,0,0.0,0,0.2772123342210246,0.4466137564110344,0.3014345563840636,Dropout,0.18595466186949175,0.36363636363636365,0.0,0.5884445101534626,0.017186249712003665,0.0,0.36363636363636365
41,41,41,1,1,2,9147,1,1,0.5930240300769907,1,3,19,2,7,0.3748036393938996,1,0,0,1,0,0,22,0,0,5,5,5,0.7841059602649006,0,0,5,5,5,0.8507692308346747,0,0.0706619675465357,0.2183445031342835,0.6111345618114996,Graduate,0.7470285109120244,1.0,0.0,0.13109097992648266,0.09289522056637162,0.0,1.0
42,42,42,1,1,6,9500,1,1,0.40573220929930015,1,1,3,2,2,0.09402329352051098,1,1,0,1,0,0,22,0,0,7,9,5,0.737907284768212,0,0,8,9,7,0.7723076922132545,0,0.19024375877913452,0.13894650199454403,0.5225639268620026,Graduate,0.6567335085462709,0.8,0.0,0.2479567361029612,0.08780476368949641,0.0,0.8
43,43,43,1,17,1,9773,1,1,0.5093554269594185,1,1,38,5,5,0.3872301697151741,0,0,0,0,0,0,20,0,0,6,7,4,0.6887417218543046,0,0,6,7,5,0.7430769231340829,0,0.2609057263256703,0.1290217518520766,0.5088919496550333,Dropout,0.6022231421399749,0.75,0.0,0.3057830445224644,0.055180915449842216,0.0,0.75
44,44,44,1,39,1,9991,0,1,0.5936818197721161,1,37,37,9,9,0.23198322371625935,0,0,0,1,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,0.46745609300015906,0.10917225156714175,0.34780039212943786,Dropout,0.0,0.0,0.0,0.5609466851707618,0.22219896473334533,0.0,0.0
45,45,45,1,17,1,9991,0,1,0.7356903866482745,1,38,38,4,5,0.5333955647051418,0,0,0,1,0,0,24,0,0,5,9,2,0.609271523178808,0,0,5,11,3,0.7717948716747536,1,0.0,0.3374415048438927,0.42151018228875087,Enrolled,0.5674725239791907,0.5,0.06666666666666667,0.25604433168610846,0.1339509378322853,0.0,0.0
46,46,46,1,17,2,9238,1,1,0.573389560059012,1,19,19,9,9,0.4611622161424975,1,0,0,1,0,0,18,0,0,6,6,6,0.6181015454304636,0,0,6,8,5,0.7107692308239053,0,0.19024375877913452,0.13894650199454403,0.5225639268620026,Graduate,0.5335834787597852,0.9166666666666666,0.0,0.2479567361029612,0.01833798288903765,0.0,0.9166666666666666
47,47,47,1,17,6,9500,1,1,0.5864578351256783,1,37,19,7,7,0.5149902001994207,1,0,0,1,0,1,22,0,0,7,8,6,0.7161147904635761,0,0,8,9,7,0.7415384615185799,0,0.19024375877913452,0.13894650199454403,0.5225639268620026,Graduate,0.620094391833256,0.8666666666666667,0.0,0.2479567361029612,0.09543675758271153,0.8666666666666667,0.8666666666666667
48,48,48,1,44,1,8014,0,39,0.573389560059012,1,1,19,9,9,0.5258571485387264,0,0,0,1,0,1,21,0,3,6,6,6,0.609271523178808,0,2,6,7,6,0.7153846156704142,0,0.2609057263256703,0.1290217518520766,0.5088919496550333,Graduate,0.5307848414274244,1.0,0.0,0.3057830445224644,0.07654973560022643,1.0,0.0
49,49,49,1,1,1,9238,1,1,0.6328642957489701,1,37,38,9,9,0.443749013929736,0,0,0,1,0,1,19,0,0,6,7,5,0.6534216333774835,0,0,6,7,6,0.6910256408993097,0,0.2772123342210246,0.4466137564110344,0.3014345563840636,Graduate,0.5440080628676679,0.9166666666666666,0.0,0.5884445101534626,0.03709605926795462,0.9166666666666666,0.9166666666666666
50,50,50,1,39,1,9254,1,1,0.573389560059012,1,19,38,9,7,0.2848841177063868,0,0,0,1,0,1,24,0,0,6,6,6,0.7240618103311258,0,0,6,6,6,0.7628205130586786,0,0.2609057263256703,0.1290217518520766,0.5088919496550333,Graduate,0.6403139275955245,1.0,0.0,0.3057830445224644,0.1290359209142921,1.0,1.0
51,51,51,1,1,1,9500,1,1,0.6328642957489701,1,37,38,6,6,0.38599405379691376,1,0,0,1,0,1,19,0,0,8,10,6,0.6269315671523179,0,0,8,10,6,0.6371794870490138,0,0.0978396473721263,0.0,0.217024957975818,Enrolled,0.49272573154059246,0.75,0.0,0.33045021105106365,0.03619176398263302,0.75,0.75
52,52,52,1,1,1,9773,1,1,0.5539488427689498,1,1,19,7,7,0.3921602411258114,1,0,0,1,0,1,20,0,0,6,11,4,0.7417218543046358,0,0,6,12,3,0.5923076923532545,0,0.0978396473721263,0.0,0.217024957975818,Enrolled,0.5382062975115123,0.5833333333333334,0.0,0.33045021105106365,0.05526217054118321,0.5833333333333334,0.5833333333333334
53,53,53,1,1,3,9130,1,1,0.8283744988337527,1,37,37,90,90,0.7724729541376938,0,0,0,1,0,0,19,0,0,5,7,5,0.7795648058278146,0,0,5,5,5,0.8507692308346747,0,0.0,0.3374415048438927,0.42151018228875087,Graduate,0.7436201442951798,1.0,0.0,0.25604433168610846,0.042243037269822314,0.0,1.0
54,54,54,1,39,1,9991,0,1,0.573389560059012,1,38,38,9,9,0.36979199730022216,0,0,0,1,0,0,27,0,0,5,12,5,0.5615894039735099,0,0,5,10,5,0.5923076923532545,0,0.0978396473721263,0.0,0.217024957975818,Dropout,0.42555293511904235,1.0,0.0,0.33045021105106365,0.1875814944330082,0.0,0.0
55,55,55,1,1,1,9500,1,1,0.573389560059012,1,1,19,5,5,0.47828772566867883,1,0,0,1,0,0,18,0,0,7,9,7,0.6910963941721854,0,0,8,10,8,0.7320384615947723,0,0.4294073412443323,0.3572910051288275,0.1611481815647259,Graduate,0.5963920257133198,1.0,0.0,0.7607102960745002,0.018592011939007946,0.0,1.0
56,56,56,2,7,1,9254,1,3,0.573389560059012,1,1,3,4,3,0.4884282858118354,0,0,0,1,0,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,0.2609057263256703,0.1290217518520766,0.5088919496550333,Dropout,0.0,0.0,0.0,0.3057830445224644,0.4188594627752309,0.0,0.0
57,57,57,1,39,1,9130,1,40,0.5668876665698703,1,3,3,2,2,0.7382382910319123,1,0,0,1,0,0,27,0,0,6,9,5,0.6887417218543046,0,5,11,13,10,0.6946153846688167,0,0.2609057263256703,0.1290217518520766,0.5088919496550333,Dropout,0.5698415528066152,0.8823529411764706,0.0,0.3057830445224644,0.1957794457247899,0.0,0.8823529411764706
58,58,58,1,17,1,9500,1,1,0.646311076714472,1,38,38,7,10,0.5927716197765385,1,0,0,1,0,0,18,0,0,8,8,8,0.7912582781456954,0,0,8,8,8,0.8041923077541687,0,0.0978396473721263,0.0,0.217024957975818,Graduate,0.7182085943495528,1.0,0.0,0.33045021105106365,0.020290194104779613,0.0,1.0
59,59,59,1,1,3,171,1,1,0.5410972836775345,1,38,37,4,9,0.3077447616601958,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.3374415048438927,0.42151018228875087,Enrolled,0.0,0.0,0.0,0.25604433168610846,0.016062284746952482,0.0,0.0
60,60,60,1,1,2,9500,1,1,0.5410972836775345,1,19,19,9,9,0.30374539228278863,0,0,0,1,0,0,18,0,0,7,8,6,0.6958057393377483,0,0,8,12,7,0.6580769230506214,0,0.46745609300015906,0.10917225156714175,0.34780039212943786,Graduate,0.5505867365517726,0.8666666666666667,0.0,0.5609466851707618,0.016002960614034334,0.0,0.8666666666666667
61,61,61,1,44,1,9238,1,39,0.573389560059012,1,19,1,9,9,0.5095130079018411,0,0,0,1,0,1,21,0,3,6,7,6,0.6357615894039735,0,2,6,7,6,0.6461538462035503,0,0.3424387658024422,0.049623750712337156,0.44944857049429693,Graduate,0.5039396449393123,1.0,0.0,0.37452760697921644,0.07626689043304513,1.0,1.0
62,62,62,1,17,3,171,1,1,0.5930240300769907,1,1,37,4,7,0.4425777023108708,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.1739371508837802,0.2183445031342835,0.5059197806969964,Enrolled,0.0,0.0,0.0,0.27949835887723573,0.037077719517184304,0.0,0.0
63,63,63,1,17,1,9070,1,1,0.5539488427689498,1,1,1,3,4,0.4906682406704945,1,0,0,1,1,0,19,0,0,6,6,5,0.6039735099337749,0,0,6,8,1,0.5384615385029586,0,0.1739371508837802,0.2183445031342835,0.5059197806969964,Enrolled,0.4192695498155892,0.5,0.0,0.27949835887723573,0.03783069462109184,0.0,0.5
64,64,64,1,43,1,9070,1,1,0.48436693091916116,1,1,1,3,3,0.3810351116017934,0,0,0,1,1,0,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,0.2772123342210246,0.4466137564110344,0.3014345563840636,Enrolled,0.0,0.0,0.0,0.5884445101534626,0.13093757883542662,0.0,0.0
65,65,65,4,42,1,9500,1,19,0.5936818197721161,1,1,1,5,5,0.4425777023108708,1,0,0,1,1,0,29,0,2,7,10,5,0.6304635761589404,0,1,8,10,5,0.5923076923532545,0,0.3424387658024422,0.049623750712337156,0.44944857049429693,Dropout,0.4673319625318384,0.6666666666666666,0.0,0.37452760697921644,0.22723179583147646,0.0,0.6666666666666666
66,66,66,1,1,3,171,1,1,0.6328642957489701,1,19,19,5,3,0.46804648712467056,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.1739371508837802,0.2183445031342835,0.5059197806969964,Graduate,0.0,0.0,0.0,0.27949835887723573,0.03747649569116179,0.0,0.0
67,67,67,1,44,1,9003,1,39,0.573389560059012,1,19,37,9,9,0.4884282858118354,1,0,0,1,1,0,23,0,0,6,8,6,0.6660359507284769,0,0,6,7,6,0.6692307693591717,0,0.0706619675465357,0.2183445031342835,0.6111345618114996,Graduate,0.5382062975115123,1.0,0.0,0.13109097992648266,0.11400839067053287,0.0,1.0
68,68,68,1,1,3,9147,1,1,0.5410972836775345,1,1,38,7,7,0.37104712501541925,0,0,1,1,1,0,19,0,0,5,8,5,0.5933774834437086,0,0,5,10,4,0.5788461538906805,3,0.46745609300015906,0.10917225156714175,0.34780039212943786,Dropout,0.43664169932823144,0.9,0.19999999999999998,0.5609466851707618,0.03595773322239948,0.0,0.9
69,69,69,1,39,1,9254,1,1,0.7780665087472556,1,19,37,7,10,0.08430784005798841,0,0,0,1,1,0,26,0,0,6,7,6,0.6357615894039735,0,0,6,8,5,0.5815384615831953,0,0.2772123342210246,0.4466137564110344,0.3014345563840636,Enrolled,0.46406083614594895,0.9166666666666666,0.0,0.5884445101534626,0.16250928950343402,0.0,0.9166666666666666
70,70,70,1,17,1,9147,1,1,0.6940179508449652,1,38,37,5,5,0.532322066026385,0,0,0,1,1,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,0.0,0.3374415048438927,0.42151018228875087,Enrolled,0.0,0.0,0.0,0.25604433168610846,0.019393523399198476,0.0,0.0
71,71,71,1,17,1,9500,1,1,0.7078296001028215,1,37,19,8,4,0.497358953125687,0,0,0,1,1,0,24,0,0,7,8,7,0.6344370860927152,0,0,8,8,8,0.7403846154415681,0,0.3424387658024422,0.049623750712337156,0.44944857049429693,Graduate,0.5636315932880552,1.0,0.0,0.37452760697921644,0.13323821188859442,0.0,1.0
72,72,72,1,1,1,171,1,1,0.646311076714472,1,19,19,5,10,0.5514732158680822,1,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.4294073412443323,0.3572910051288275,0.1611481815647259,Dropout,0.0,0.0,0.0,0.7607102960745002,0.03878274535870496,0.0,0.0
73,73,73,1,17,4,9254,1,1,0.4968156785970186,1,38,37,5,7,0.26014377535003064,1,0,0,1,1,0,18,0,0,6,12,3,0.6181015454304636,0,0,6,12,1,0.6461538462035503,0,0.2609057263256703,0.1290217518520766,0.5088919496550333,Dropout,0.4927257318754403,0.3333333333333333,0.0,0.3057830445224644,0.015356201619234067,0.0,0.3333333333333333
